연번,인증번호,인증구분,인증등급,지역코드,시군구,지역(시설)명,인증대상,신청기관,면적,용도구분,인증일자,인증만료일,인증기관
551,149,본,우수,인천광역시,,무형문화재 전수교육관 건립공사,건축물,인천광역시종합건설본부,6874.3,교육연구시설,2014-12-29,2019-12-28,한국장애인개발원
552,403,예비,우수,경기도,김포시,㈜대동소방,건축물,(주)대동소방(김희진),99,공장,2014-12-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
553,404,예비,우수,충청북도,음성군,㈜내일식품 음성공장,건축물,㈜내일식품(김선희),6026.92,공장,2014-12-29,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
554,405,예비,우수,전라남도,영암군,고성능자동차 핵심기술 연구개발센터,건축물,전남도청,4509.12,교육연구시설,2014-12-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
555,150,본,우수,대전광역시,중구,대전 예술가의 집,건축물,대전광역시 건설관리본부,9133.22,문화 및 집회시설,2014-12-30,2019-12-29,한국장애인개발원
556,151,본,우수,인천광역시,부평구,송암보호작업장,건축물,송암보호작업장,517.97,노유자시설,2014-12-30,2019-12-29,한국장애인개발원
557,406,예비,우수,전라남도,완도군,소안 항일문화 창조센터,건축물,전남 완도군청,847,제1종 근린생활시설,2014-12-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
558,152,본,우수,경기도,양주시,양주시여성보육비전센터,건축물,양주시청,,노유자시설,2014-12-30,2019-12-29,한국토지주택공사
559,153,본,우수,세종특별자치시,,행정중심복합도시 1-4생활권 복합커뮤니티센터,건축물,행정중심복합도시건설청,,업무시설,2014-12-30,2019-12-29,한국토지주택공사
560,407,예비,최우수,광주광역시,광산구,2015년 광주하계 U대회 다목적체육관,건축물,광주광역시청,27731.74,교육연구시설,2015-01-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
561,408,예비,일반,전라남도,광양시,광양공공도서관,건축물,전남교육청,4108,교육연구시설,2015-01-16,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
562,409,예비,최우수,전라북도,진안군,국민연금 진안사옥,건축물,국민연금공단,996,업무시설,2015-02-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
563,410,예비,우수,광주광역시,동구,가칭'지원초등학교,건축물,광주시 교육청,8165.17,교육연구시설,2015-02-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
564,411,예비,일반,전라남도,순천시,가칭'라온유치원,건축물,전남 교육청,2524.95,교육연구시설,2015-02-10,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
565,412,예비,일반,울산광역시,북구,중산동 공동주택(ZOOM 파크),건축물,국제자산신탁㈜,114404.4,공동주택,2015-02-11,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
566,413,예비,최우수,경기도,평택시,한국복지대학교 사회통합교육지원센터,건축물,한국복지대학교,,교육연구시설,2015-02-12,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
567,414,예비,우수,서울특별시,송파구,소마미술관 기존동 및 증축동,건축물,서울올림픽기념국민체육진흥공단,4362.14,문화 및 집회시설,2015-02-17,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
568,415,예비,우수,서울특별시,성동구,서울재사용플라자,건축물,서울특별시청,16529.57,자원순환관련시설,2015-02-23,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
569,416,예비,일반,전라남도,강진군,강진 다목적실내체육관,건축물,전남 강진군청,2645,운동시설,2015-02-23,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
570,417,예비,우수,대구광역시,달성군,대구대실초등학교,건축물,대구광역시교육청,11114.6,교육연구시설,2015-03-11,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
571,418,예비,우수,대구광역시,달성군,포산중학교,건축물,대구광역시교육청,13533,교육연구시설,2015-03-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
572,419,예비,우수,인천광역시,동구,(가칭)동구 한마음 종합복지관,건축물,인천광역시 동구청,2072.07,노유자시설,2015-03-13,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
573,420,예비,우수,전라남도,목포시,소망 자립센터,건축물,목포소망복지재단,664.2,노유자시설,2015-03-16,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
574,421,예비,우수,전라남도,목포시,소망장애인복지원,건축물,목포소망복지재단,882.99,노유자시설,2015-03-23,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
575,154,본,우수,부산광역시,사상구,기업은행 서부산금융센터,건축물,중소기업은행,4263.7,업무시설,2015-03-25,2020-03-24,한국장애인개발원
576,155,본,우수,광주광역시,남구,남구 장애인종합복지관,건축물,광주광역시 남구청,1687.85,노유자시설,2015-03-27,2020-03-26,한국장애인개발원
577,422,예비,우수,서울특별시,성북구,장위 제2구역 주택재개발 아파트,건축물,장위제2구역 주택재개발 정비사업조합,83257.39,공동주택,2015-03-30,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
578,156,본,최우수,서울특별시,성북구,행복플러스작업장,건축물,서울시 도시기반시설본부,1407.38,노유자시설,2015-03-31,2020-03-30,한국장애인개발원
579,157,본,우수,경기도,안산시,시화조력문화관,건축물,한국수자원공사,3910.51,문화 및 집회시설,2015-03-31,2020-03-30,한국장애인개발원
580,423,예비,우수,경기도,파주시,경의선 야당역,여객시설,한국철도시설공단,,운수시설,2015-04-08,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
581,424,예비,우수,대구광역시,달서구,대구월배3초등학교,건축물,대구광역시 교육청,11503.17,교육연구시설,2015-04-08,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
582,425,예비,우수,대전광역시,유성구,전민동 주민센터,건축물,대전광역시 유성구청,1966,업무시설,2015-04-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
583,426,예비,우수,경기도,성남시,성남시 의료원 건립공사,건축물,성남시청,88907,의료시설,2015-04-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
584,427,예비,우수,대구광역시,달성군,대구강림초등학교,건축물,대구광역시 교육청,11708.41,교육연구시설,2015-04-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
585,428,예비,우수,광주광역시,남구,남구 주월1동 거점 경로당,건축물,광주광역시 남구청,719,노유자시설,2015-04-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
586,429,예비,우수,전라남도,순천시,순천시 운룡보건진료소,건축물,전남 순천시첨,115.44,제1종 근린생활시설,2015-04-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
587,430,예비,우수,전라남도,순천시,순천시 학산보건진료소,건축물,전남 순천시첨,115.49,제1종 근린생활시설,2015-04-09,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
588,431,예비,우수,전라남도,장성군,남면보건지소,건축물,전남 장선군 보건소,348.25,제1종 근린생활시설,2015-04-14,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
589,432,예비,최우수,경상남도,사천시,국민연금사천남해사옥,건축물,국민연금공단,1164.06,업무시설,2015-04-20,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
590,158,본,우수,광주광역시,북구,한양수자인리버뷰아파트,건축물,덕명DNC(주),148258.88,공동주택,2015-04-20,2020-04-19,한국장애인개발원
591,159,본,최우수,서울특별시,강서구,마곡 엠밸리 6단지,건축물,SH공사,,공동주택,2015-04-23,2020-04-22,한국토지주택공사
